City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,sangar,63.9242,127.4739,-45.76,97,81,1.14,RU,1676068036
333,bathsheba,13.2167,-59.5167,79.41,69,40,20.71,BB,1676068250
334,gboko,7.3179,8.9951,83.5,12,11,3.47,NG,1676068250
335,belmonte,-15.8631,-38.8828,78.53,86,1,8.97,BR,1676068251
336,leningradskiy,69.3833,178.4167,-21.1,96,100,11.27,RU,1676068158
337,bubaque,11.2833,-15.8333,74.16,74,8,15.35,GW,1676068252
338,oyama,36.3,139.8,44.58,73,0,3.0,JP,1676068119
339,torrington,41.8007,-73.1212,50.14,63,6,8.01,US,1676068252
340,port-cartier,50.0334,-66.8654,12.74,94,100,11.92,CA,1676068253
341,port keats,-14.25,129.55,77.22,87,100,1.19,AU,1676068253
342,jinchang,38.4953,102.1739,28.99,40,31,9.48,CN,1676068254
343,linguere,15.3953,-15.1193,84.42,30,0,4.61,SN,1676068254
344,aklavik,68.2191,-135.0107,-11.2,77,100,5.75,CA,1676068136
345,torbay,47.6666,-52.7314,22.57,91,100,9.22,CA,1676068255
346,cayenne,4.9333,-52.3333,78.84,78,100,9.22,GF,1676068056
347,jega,12.2175,4.3792,77.45,9,0,11.68,NG,1676068256
348,lask,51.5906,19.1328,35.37,84,99,1.01,PL,1676068256
349,kautokeino,69.0125,23.0412,4.23,89,97,6.06,NO,1676068257
350,malanje,-9.5402,16.341,63.52,80,4,2.64,AO,1676068257
351,damietta,31.4165,31.8133,57.69,59,39,16.71,EG,1676068258
352,roebourne,-20.7833,117.1333,85.17,68,88,7.92,AU,1676068259
353,kidal,18.4411,1.4078,77.34,13,18,9.04,ML,1676068259
354,nortelandia,-14.4547,-56.8028,76.6,88,34,3.8,BR,1676068259
355,minab,27.1467,57.0801,57.52,82,61,0.0,IR,1676068260
356,tres arroyos,-38.3739,-60.2798,85.15,32,47,12.1,AR,1676068260
357,tuatapere,-46.1333,167.6833,61.74,57,46,3.04,NZ,1676068162
358,esna,25.2934,32.554,57.22,22,68,5.79,EG,1676068261
359,bangkal,6.0667,121.0667,76.93,82,93,2.59,PH,1676068261
360,mersin,36.862,34.6509,41.94,52,3,7.78,TR,1676068262
361,graham,47.0529,-122.2943,52.88,71,75,6.91,US,1676068109
362,molln,53.6333,10.6833,42.3,84,100,16.11,DE,1676068263
363,ugoofaaru,5.6667,73.0,79.86,73,84,6.4,MV,1676068264
364,sandwick,60.0,-1.25,48.02,81,75,26.46,GB,1676068265
